ID	Name
e1	https://github.com/Exorust/TorchLeet/tree/main/torch/basic/lin-regression
e2	https://github.com/Exorust/TorchLeet/blob/main/torch/basic/custom-dataset/custom-dataset.ipynb
e3	https://github.com/Exorust/TorchLeet/tree/main/torch/basic/custom-activation
e4	https://github.com/Exorust/TorchLeet/blob/main/torch/basic/custom-loss/custom-loss.ipynb
e5	https://github.com/Exorust/TorchLeet/blob/main/torch/basic/custom-DNN/
e6	https://github.com/Exorust/TorchLeet/blob/main/torch/basic/tensorboard/
e7	https://github.com/Exorust/TorchLeet/blob/main/torch/basic/save-model/
m1	https://github.com/Exorust/TorchLeet/blob/main/torch/medium/lstm/
m3	https://github.com/Exorust/TorchLeet/blob/main/torch/medium/cnn-param-init/
m4	https://github.com/Exorust/TorchLeet/blob/main/torch/medium/3dcnn/
m5	https://github.com/Exorust/TorchLeet/blob/main/torch/easy/rnn/
m6	https://github.com/Exorust/TorchLeet/blob/main/torch/easy/augmentation/
m7	https://github.com/Exorust/TorchLeet/blob/main/torch/easy/benchmark/
m8	https://github.com/Exorust/TorchLeet/tree/main/torch/easy/autoencoder/
h1	https://github.com/Exorust/TorchLeet/blob/main/torch/hard/custom-autograd/custom-autgrad-function_SOLN.ipynb
h3	https://github.com/Exorust/TorchLeet/blob/main/torch/hard/transformer/transformer_SOLN.ipynb
h4	https://github.com/Exorust/TorchLeet/blob/main/torch/hard/GAN/GAN_SOLN.ipynb
h5	https://github.com/Exorust/TorchLeet/blob/main/torch/hard/seq-seq/seq-to-seq-with-Attention_SOLN.ipynb
h6	https://github.com/Exorust/TorchLeet/blob/main/torch/easy/quantize-lm/quantize-language-model_SOLN.ipynb
h10	https://github.com/Exorust/TorchLeet/blob/main/torch/hard/xai/xai_SOLN.ipynb
